vote,spend,state,districts,dem_inc,rep_inc,pvi
-47597,780028.8100000003,South Carolina,2,0.0,1.0,-12
73537,1834511.01,Washington,1,1.0,0.0,6
71246,702752.0399999999,Missouri,5,1.0,0.0,7
-111734,-2129736.99,Georgia,3,0.0,1.0,-18
80259,1006076.8700000001,New York,20,1.0,0.0,7
-74635,-1474401.61,Wisconsin,6,0.0,1.0,-8
-100294,-10659713.8,Florida,19,0.0,0.0,-13
-133978,-13037710.389999999,Ohio,4,0.0,1.0,-14
-29977,-240104.46999999997,Texas,6,0.0,1.0,-9
65669,-199053.17999999993,Connecticut,3,1.0,0.0,9
169074,912345.2899999999,Washington,9,1.0,0.0,21
-173720,-1158144.39,Tennessee,6,0.0,1.0,-24
-99490,-361406.99,Indiana,9,0.0,1.0,-13
-112603,-4492869.7,Texas,12,0.0,1.0,-18
100557,1284734.5499999998,Connecticut,1,1.0,0.0,12
102545,819853.05,Florida,10,1.0,0.0,11
-133794,-2282917.39,Utah,1,0.0,0.0,-26
6588,426632.80000000005,Texas,15,1.0,0.0,7
-212953,-3839094.2899999996,Georgia,9,0.0,0.0,-31
-166647,-4689058.49,Texas,13,0.0,0.0,-33
24692,-1908890.750000001,Florida,13,1.0,0.0,2
117634,1070886.18,Massachusetts,2,1.0,0.0,9
-11344,-2295227.17,Minnesota,1,0.0,1.0,-5
-99311,-1005986.24,West Virginia,1,0.0,1.0,-19
193076,1391459.73,Massachusetts,5,1.0,0.0,18
-137612,-952645.9199999999,Missouri,4,0.0,1.0,-17
105996,206817.95,Maine,1,1.0,0.0,8
-29530,1657966.4399999995,Texas,10,0.0,1.0,-9
-15365,1374823.0299999998,Nebraska,2,0.0,1.0,-4
-79235,-652211.6799999999,Utah,2,0.0,1.0,-16
-92710,-4298195.8100000005,Alabama,2,0.0,0.0,-16
105045,2585291.8099999996,New Jersey,9,1.0,0.0,16
30491,1885313.0299999998,Oregon,5,1.0,0.0,0
-69384,-1313339.6400000001,Nebraska,1,0.0,1.0,-11
-54219,-1636514.32,Georgia,1,0.0,1.0,-9
-79243,-1106397.95,Arizona,5,0.0,1.0,-15
24983,1126280.02,Ohio,13,1.0,0.0,7
106868,1232603.6,Washington,2,1.0,0.0,10
137238,1824041.93,Michigan,12,1.0,0.0,14
-152029,-5714696.39,Georgia,14,0.0,0.0,-27
49196,187905.01,Florida,7,1.0,0.0,0
51835,482549.4700000001,Florida,9,1.0,0.0,5
-54232,-322781.3700000001,Washington,3,0.0,1.0,-4
-139783,-1589359.62,Missouri,6,0.0,1.0,-16
-147259,-1057454.73,North Dakota,0,0.0,1.0,-16
-18410,5840410.449999999,New York,11,1.0,0.0,-3
-58943,-958035.95,Ohio,12,0.0,1.0,-7
-134180,-2726431.4700000007,Florida,1,0.0,1.0,-22
135682,1783028.49,Massachusetts,6,1.0,0.0,6
-51977,-577596.7799999999,Georgia,12,0.0,1.0,-9
-19737,3954789.4400000004,New Mexico,2,1.0,0.0,-6
-134336,-440032.44,Ohio,7,0.0,1.0,-12
-115867,-1011609.2699999999,Arkansas,4,0.0,1.0,-17
144259,-5043590.47,Maryland,7,1.0,0.0,26
9580,1476342.54,Minnesota,2,1.0,0.0,-2
170770,259552.08999999997,California,11,1.0,0.0,21
120522,-8838095.879999999,California,43,1.0,0.0,29
5374,1843267.7800000003,Illinois,14,1.0,0.0,-5
-133428,-3695665.73,Michigan,10,0.0,0.0,-13
12148,4419684.460000001,Illinois,17,1.0,0.0,3
-136710,142964.67000000004,Texas,1,0.0,1.0,-25
84711,228927.28000000003,Pennsylvania,4,1.0,0.0,7
-73691,-456548.6799999997,Virginia,1,0.0,1.0,-8
62481,-713744.4399999997,Virginia,10,1.0,0.0,1
135743,1753468.9200000002,California,19,1.0,0.0,24
200115,830371.06,California,2,1.0,0.0,22
-112547,-189427.55,Indiana,4,0.0,1.0,-17
30095,7542.749999999884,California,3,1.0,0.0,5
-100282,-579334.18,Mississippi,3,0.0,1.0,-13
36446,4401254.2700000005,Georgia,6,1.0,0.0,-8
-71396,-231723.34000000008,West Virginia,2,0.0,1.0,-17
40651,2051448.27,California,16,1.0,0.0,9
-89532,-663303.04,Wisconsin,5,0.0,0.0,-13
12204,1947843.0900000003,Pennsylvania,8,1.0,0.0,-1
86124,529471.76,California,32,1.0,0.0,17
184913,533674.1600000001,Florida,20,1.0,0.0,31
292908,1800188.23,California,13,1.0,0.0,40
-97048,-2305327.84,North Carolina,3,0.0,1.0,-12
154916,573070.5,Illinois,1,1.0,0.0,27
-136057,-1231174.5,Ohio,5,0.0,1.0,-11
10336,1884835.5,Georgia,7,0.0,0.0,-9
-100590,-634340.36,Pennsylvania,11,0.0,1.0,-14
-45198,3944778.38,North Carolina,9,0.0,1.0,-8
-20673,4985924.069999999,Virginia,5,0.0,1.0,-6
213211,1044310.94,California,37,1.0,0.0,37
-116747,-1520673.65,Florida,12,0.0,1.0,-8
150685,4764452.98,Maryland,5,1.0,0.0,16
62783,186740.6200000001,California,24,1.0,0.0,7
-163469,-1853636.1199999999,Ohio,6,0.0,1.0,-16
-25958,1278905.1900000004,Pennsylvania,10,0.0,1.0,-6
-89307,-2100046.4499999997,Wisconsin,7,0.0,1.0,-8
72979,1287033.0099999998,California,26,1.0,0.0,7
-34311,-776818.9799999995,California,8,0.0,0.0,-9
-141836,-813336.6,Pennsylvania,12,0.0,1.0,-17
11760,1921975.8399999999,Arizona,1,1.0,0.0,-2
-142497,-1133691.8599999999,North Carolina,13,0.0,1.0,-6
-75101,-2568817.69,Wisconsin,1,0.0,1.0,-5
-158885,-525645.0,Florida,11,0.0,1.0,-15
-67781,180614.75999999978,Michigan,7,0.0,1.0,-7
125504,923959.61,California,27,1.0,0.0,16
44192,1405955.3,Rhode Island,2,1.0,0.0,6
8270,2882294.1000000006,Virginia,7,1.0,0.0,-6
-10741,843280.8899999997,Iowa,1,1.0,0.0,1
-28651,2477829.0900000003,California,50,0.0,0.0,-11
28747,3265216.6500000004,California,45,1.0,0.0,-3
-29725,464434.5499999998,Illinois,13,0.0,1.0,-3
86087,661953.69,California,46,1.0,0.0,15
-171177,-410365.95999999996,Pennsylvania,13,0.0,1.0,-22
169345,1593955.56,Virginia,11,1.0,0.0,15
147559,1410789.63,Maryland,8,1.0,0.0,14
-60996,306758.1899999997,Ohio,10,0.0,1.0,-4
151701,725578.76,Illinois,4,1.0,0.0,33
