# timestamp,user_a,user_b,rssi
1678800,325,34,-53
1678800,383,330,-54
1678800,468,116,-55
1678800,491,208,-56
1678800,494,164,-55
1678800,557,102,-59
1678800,557,364,-56
1678800,595,291,-58
1678800,688,158,-58
1679100,137,136,-53
1679100,158,94,-50
1679100,274,32,-59
1679100,289,130,-50
1679100,304,164,-59
1679100,308,109,-52
1679100,330,36,-56
1679100,338,311,-59
1679100,383,330,-58
1679100,427,34,-46
1679100,468,116,-59
1679100,557,364,-55
1679100,591,195,-55
1679100,640,394,-58
1679100,648,325,-42
1679400,137,136,-53
1679400,158,94,-55
1679400,304,164,-59
1679400,308,109,-49
1679400,325,34,-47
1679400,338,311,-57
1679400,357,239,-56
1679400,383,330,-57
1679400,427,34,-56
1679400,491,208,-52
1679400,494,164,-46
1679400,523,371,-52
1679400,546,230,-58
1679400,557,364,-53
1679400,584,582,-53
1679400,592,8,-58
1679400,640,394,-58
1679400,676,643,-58
1679700,137,136,-54
1679700,187,20,-48
1679700,289,130,-51
1679700,304,164,-56
1679700,338,311,-52
1679700,357,239,-56
1679700,363,22,-42
1679700,383,330,-55
1679700,427,34,-54
1679700,427,325,-35
1679700,468,116,-53
1679700,491,208,-50
1679700,494,164,-52
1679700,518,287,-59
1679700,546,230,-58
1679700,557,364,-57
1679700,579,150,-57
1679700,611,357,-57
1679700,614,535,-58
1679700,666,354,-58
1680000,137,136,-54
1680000,304,164,-59
1680000,308,109,-47
1680000,325,34,-53
1680000,338,311,-58
1680000,357,239,-50
1680000,427,34,-46
1680000,491,208,-58
1680000,507,58,-53
1680000,546,230,-55
1680000,579,150,-58
1680300,137,136,-54
1680300,274,61,-52
1680300,289,130,-50
1680300,308,109,-46
1680300,325,34,-57
1680300,427,34,-51
1680300,461,441,-49
1680300,491,208,-52
1680300,518,287,-52
1680300,523,371,-50
1680300,546,230,-57
1680300,592,8,-56
1680300,671,309,-54
1680600,137,136,-54
1680600,308,109,-44
1680600,354,132,-55
1680600,357,239,-59
1680600,427,34,-51
1680600,427,325,-59
1680600,491,208,-52
1680600,509,15,-59
1680600,518,287,-55
1680600,523,371,-56
1680600,546,230,-57
1680600,666,354,-53
1680600,683,262,-34
1680900,137,136,-55
1680900,164,57,-57
1680900,171,49,-58
1680900,195,177,-59
1680900,276,242,-58
1680900,301,300,-59
1680900,308,109,-52
1680900,325,34,-56
1680900,338,311,-59
1680900,364,102,-53
1680900,427,34,-51
1680900,468,116,-58
1680900,491,208,-52
1680900,494,164,-50
1680900,518,287,-50
1680900,523,371,-58
1680900,557,102,-58
1680900,557,364,-48
1681200,137,136,-56
1681200,195,58,-39
1681200,246,188,-57
1681200,308,109,-53
1681200,325,34,-56
1681200,357,239,-55
1681200,376,114,-53
1681200,427,34,-51
1681200,427,325,-59
1681200,468,116,-56
1681200,491,208,-52
1681200,507,177,-58
1681200,523,371,-54
1681200,557,364,-51
1681200,617,20,-50
1681500,58,15,-46
1681500,137,136,-55
1681500,274,61,-56
1681500,294,194,-59
1681500,308,109,-54
1681500,325,34,-55
1681500,338,311,-59
1681500,376,114,-51
1681500,468,116,-53
1681500,491,208,-51
1681500,502,2,-59
1681500,518,287,-55
1681500,557,364,-57
1681500,620,592,-59
1681800,137,136,-54
1681800,294,194,-56
1681800,308,109,-52
1681800,325,34,-48
1681800,325,243,-58
1681800,357,239,-54
1681800,438,48,-59
1681800,468,116,-56
1681800,491,208,-50
1681800,518,287,-53
1681800,557,364,-55
1681800,600,146,-53
1681800,615,41,-59
1681800,640,172,-59
1681800,648,243,-55
1682100,137,136,-53
1682100,294,194,-58
1682100,304,164,-53
1682100,308,109,-51
1682100,325,34,-52
1682100,468,116,-58
1682100,491,208,-57
1682100,494,164,-59
1682100,518,287,-52
1682100,523,371,-52
1682100,557,364,-50
1682100,608,243,-44
1682100,648,243,-53
1682400,308,109,-46
1682400,491,208,-56
1682400,523,371,-54
1682400,557,364,-57
1682400,584,339,-53
