i,j,weight
656,812,1
92,643,1
266,418,1
268,403,1
381,416,1
228,845,1
240,406,1
131,809,1
345,396,1
194,472,1
324,677,1
346,636,1
472,798,1
69,263,1
57,474,1
405,513,1
106,559,1
93,562,1
599,645,1
248,413,1
312,644,1
201,355,1
217,263,1
221,348,1
221,672,1
221,300,1
52,259,1
52,418,1
263,457,1
52,541,1
263,550,1
100,221,1
221,743,1
52,513,1
92,262,1
262,397,1
58,221,1
262,551,1
88,627,1
57,304,1
328,783,1
81,263,1
46,449,1
351,519,1
364,687,1
101,291,1
6,616,1
113,322,1
159,522,1
185,448,1
703,845,1
211,736,1
52,186,1
104,470,1
39,444,1
142,500,1
190,193,1
485,682,1
483,601,1
119,325,1
13,219,1
155,350,1
470,780,1
104,190,1
74,104,1
217,401,1
372,401,1
7,791,1
673,674,1
272,295,1
490,682,1
190,342,1
4,743,1
381,744,1
634,677,1
677,681,1
38,261,1
297,441,1
547,784,1
176,263,1
88,476,1
179,180,1
615,691,1
