v54,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v97,v121,v126,v142,v143,v145,v208,v211,v170,v184,v185,v198,v226,v261_ppp,country
2.0,1.0,1.0,1.0,1.0,8.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,2.0,2.0,2.0,10.0,8.0,4.0,1.0,5.0,1.0,3.0,10.0,2.0,1953.0,0.47219601,Albania
4.0,1.0,3.0,1.0,10.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,4.0,4.0,2.0,10.0,1.0,4.0,1.0,5.0,1.0,4.0,8.0,1.0,1986.0,0.094340588,Albania
7.0,1.0,4.0,1.0,8.0,1.0,1.0,1.0,10.0,1.0,9.0,1.0,1.0,7.0,1.0,10.0,4.0,4.0,2.0,10.0,5.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1996.0,0.94763806,Albania
4.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,10.0,1.0,1.0,1.0,8.0,9.0,1.0,10.0,4.0,4.0,4.0,10.0,1.0,4.0,4.0,4.0,1.0,4.0,9.0,3.0,1980.0,0.94763806,Albania
4.0,5.0,1.0,3.0,3.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,8.0,4.0,4.0,3.0,10.0,7.0,2.0,4.0,5.0,1.0,4.0,10.0,1.0,1991.0,0.638935604,Albania
2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,4.0,4.0,4.0,10.0,7.0,4.0,1.0,5.0,1.0,4.0,9.0,1.0,1978.0,0.857570739,Albania
4.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,8.0,3.0,3.0,2.0,10.0,4.0,3.0,5.0,5.0,2.0,4.0,10.0,1.0,1969.0,0.638935604,Albania
7.0,1.0,1.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,2.0,1.0,4.0,7.0,1.0,1.0,4.0,4.0,2.0,10.0,1.0,3.0,1.0,4.0,2.0,4.0,4.0,1.0,1972.0,0.638935604,Albania
7.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,10.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,4.0,4.0,2.0,10.0,4.0,4.0,3.0,5.0,1.0,5.0,1.0,1.0,1978.0,0.857570739,Albania
4.0,1.0,3.0,1.0,1.0,6.0,5.0,9.0,1.0,1.0,5.0,7.0,2.0,8.0,1.0,1.0,4.0,4.0,4.0,10.0,1.0,3.0,5.0,5.0,2.0,5.0,9.0,1.0,1992.0,0.47219601,Albania
4.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,8.0,1.0,1.0,5.0,9.0,1.0,10.0,2.0,4.0,3.0,10.0,7.0,4.0,1.0,5.0,1.0,5.0,7.0,1.0,1952.0,0.94763806,Albania
7.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,10.0,3.0,4.0,4.0,10.0,1.0,4.0,3.0,5.0,1.0,4.0,10.0,1.0,1965.0,0.94763806,Albania
7.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,4.0,4.0,2.0,6.0,4.0,3.0,4.0,5.0,1.0,4.0,4.0,1.0,1956.0,0.638935604,Albania
6.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,2.0,3.0,3.0,10.0,8.0,4.0,1.0,5.0,1.0,4.0,5.0,1.0,1942.0,0.857570739,Albania
7.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,2.0,10.0,10.0,3.0,2.0,3.0,1.0,4.0,4.0,1.0,1990.0,0.94763806,Albania
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,4.0,2.0,10.0,2.0,4.0,1.0,5.0,1.0,4.0,1.0,1.0,1946.0,0.857570739,Albania
3.0,1.0,1.0,1.0,5.0,5.0,7.0,9.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,5.0,4.0,4.0,1.0,10.0,6.0,4.0,2.0,5.0,1.0,5.0,8.0,1.0,1956.0,1.573384061,Albania
5.0,1.0,1.0,1.0,1.0,10.0,5.0,9.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,9.0,3.0,4.0,4.0,10.0,5.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,1979.0,1.893519561,Albania
7.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,10.0,1.0,4.0,3.0,5.0,2.0,3.0,4.0,1.0,1967.0,0.094340588,Albania
7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,10.0,4.0,2.0,2.0,5.0,1.0,5.0,10.0,1.0,1968.0,0.638935604,Albania
